coc_number,emp_2012,emp_2023,employment_growth_12_23,avg_weekly_wage_2012,avg_weekly_wage_2023,inmig_persons,in_migration_rate,pop_2012,pop_2024,population_growth_12_24
MA-509,57303.528468177705,64568.541302364785,0.12678124765426182,1387.9999999999998,2060.0,4581.765258578348,0.04212846307436163,104590.73711318511,113665.81120623121,0.08676747428622973
MA-510,237211.12124201623,249956.48486668186,0.05373004249519179,989.0,1426.0,19486.051393232323,0.032588040480294074,578986.4522955386,631908.5844556922,0.09140478494847397
MA-510_&_MA-516_Shared_Jurisdiction,466510.7983082527,525655.6193619587,0.12678124765426185,1388.0,2060.0,37300.37269218747,0.042128463074361605,851478.2522234485,925358.8695785303,0.08676747428622966
MA-511,245064.292804875,267988.689643499,0.09354441879820014,939.187053238597,1371.732876263077,26935.555245957148,0.04108491099996972,640232.5370953884,692399.771490326,0.08148169824609403
MA-515,33688.57516382271,36535.71815999477,0.08451360683337945,847.0,1197.0,2827.756147408029,0.03180756504249656,87920.00003244005,93292.40024654502,0.06110555291313358
MA-516,547243.7648768515,606850.7286908878,0.10892214336594577,1262.560972368042,1861.994920132159,50433.57202031162,0.04710266029489764,1034011.4269686498,1123522.712884352,0.08656701810164437
MA-517,65290.20412602627,73567.77766472532,0.1267812476542619,1388.0,2060.0,5220.348501859521,0.042128463074361626,119168.06448670274,129507.9764577925,0.08676747428622976
MA-519,140578.6173215973,152459.42331509487,0.08451360683337941,847.0,1197.0,11799.90686433531,0.03180756504249661,366880.22510218667,389298.6441099507,0.06110555291313357
MD-500,29258.0,26641.0,-0.08944562171030146,664.0,942.0,1933.0,0.026457705995072543,74645.0,67452.0,-0.09636278384352602
MD-501,329469.0,343749.0,0.04334246924596851,1112.0,1535.0,30428.0,0.04899838969404187,620644.0,573243.0,-0.07637389550209138
MD-502,86555.0,94361.0,0.09018543122869851,920.0,1287.0,11183.0,0.04477211581577093,245396.0,263757.0,0.0748219204877015
MD-503,240417.0,277682.0,0.1550015181954687,1008.0,1443.0,31706.0,0.05664445980880306,538473.0,598166.0,0.11085606892081869
MD-504,158932.0,169720.0,0.06787808622555558,1157.0,1632.0,19743.0,0.06400775497897532,288676.0,336328.0,0.16507087530657208
MD-505,362713.0,366963.0,0.011717253034768536,960.0,1319.0,36882.0,0.044669394161803926,807318.0,850796.0,0.05385486264396434
MD-506,55546.0,57799.0,0.04056097648795593,734.0,1067.0,7262.0,0.043346166472677354,167249.0,175321.0,0.0482633677929315
MD-507,29245.0,35931.0,0.22862027697042228,806.0,1166.0,4593.0,0.04495228774161977,101109.0,104960.0,0.03808760842259344
